slug,type,title,releaseDate,cover,youtubeVideoId,spotify,appleMusic,youtubeMusic,deezer,amazonMusic,tidal
donemsel,album,Dönemsel,2026-05-08,/covers/donemsel.png,,https://open.spotify.com/intl-tr/album/1QAPOTMOT2jFSiobFXwhdv,https://music.apple.com/tr/album/d%C3%B6nemsel/6766346254,,,,
film-seridi,single, Film Şeridi,2026-05-16,/covers/film-seridi.png,,https://open.spotify.com/intl-tr/album/6OiPGu3SJ9d1nds9ieTsTt,https://music.apple.com/tr/album/film-%C5%9Feridi-single/6771166492,,,,
ask-tarifi,single,Aşk Tarifi,2026-05-29,/covers/ask-tarifi.png,jv35kA8NUSI,https://open.spotify.com/track/7eGa3sW66Ps2Q9fHbPakBq?context=spotify:playlist:4tu53PAfAmx2zz8jOqgpK7&si=d64c17a0a8f04154,https://music.apple.com/tr/song/a%C5%9Fk-tarifi/6770390031,https://music.youtube.com/watch?v=XhmLRix-iNk&si=w2iqfHu9J8n0sGFq,https://link.deezer.com/s/33rSfUrFTzewprDt5k5sn,https://music.amazon.com/tracks/B0H23RDZ3D?marketplaceId=ATVPDKIKX0DER&musicTerritory=US&ref=dm_sh_ty8Fia8Fg8LOD9GWG55piIZ9B,https://tidal.com/track/525525296
degisim,single,Değişim,2026-06-15,/covers/degisim.png,h8klubM7yJ4,https://open.spotify.com/track/14ae197fpXMeZ1DeRxarJE?context=spotify:playlist:4tu53PAfAmx2zz8jOqgpK7&si=969a0c8d30924493,https://music.apple.com/song/de%C4%9Fi%C5%9Fim/6778843405,https://music.youtube.com/watch?v=UVTzCCaDRws&si=OLr_5nwqFXwQwwWK,,,
